epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,176.747,0.5474,0.3638,0.00186,0.97231,0.93214,0.98241,0.88653,0.49519,0.32522,0.00293,0.000911,0.000911,0.000911
57,179.505,0.52657,0.34186,0.00179,0.96543,0.92682,0.9814,0.88931,0.44796,0.33152,0.00272,0.0008912,0.0008912,0.0008912
58,182.377,0.50725,0.33537,0.00173,0.97331,0.92257,0.98151,0.8868,0.46317,0.34125,0.00272,0.0008714,0.0008714,0.0008714
59,185.115,0.49567,0.33039,0.00175,0.99146,0.90708,0.98279,0.89165,0.45167,0.32472,0.00269,0.0008516,0.0008516,0.0008516
60,188.087,0.49806,0.33164,0.00182,0.98229,0.91814,0.98236,0.88655,0.46952,0.33431,0.00273,0.0008318,0.0008318,0.0008318
61,191.123,0.50102,0.32136,0.0018,0.96811,0.94018,0.98325,0.88557,0.46434,0.31932,0.00275,0.000812,0.000812,0.000812
62,194.053,0.49595,0.31728,0.00173,0.97503,0.95028,0.98396,0.88346,0.4905,0.31872,0.00284,0.0007922,0.0007922,0.0007922
63,197.023,0.50309,0.33217,0.00171,0.98803,0.92257,0.98398,0.88989,0.47214,0.30575,0.00285,0.0007724,0.0007724,0.0007724
64,200.098,0.51751,0.31145,0.00186,0.9881,0.91843,0.98338,0.88769,0.46674,0.31391,0.00286,0.0007526,0.0007526,0.0007526
65,203.082,0.49443,0.31331,0.00178,0.98334,0.93142,0.98421,0.89079,0.46912,0.2986,0.00275,0.0007328,0.0007328,0.0007328
66,206.238,0.47162,0.29802,0.00166,0.96822,0.94371,0.9857,0.89847,0.44766,0.29057,0.00269,0.000713,0.000713,0.000713
67,209.215,0.47628,0.29883,0.0017,0.97393,0.94469,0.98682,0.89096,0.4741,0.30063,0.00283,0.0006932,0.0006932,0.0006932
68,212.289,0.50042,0.3044,0.00178,0.98821,0.9268,0.98619,0.89096,0.47359,0.29991,0.00283,0.0006734,0.0006734,0.0006734
69,215.276,0.46564,0.29879,0.00165,0.98092,0.9292,0.98596,0.90483,0.43986,0.28981,0.00269,0.0006536,0.0006536,0.0006536
70,218.433,0.48197,0.30619,0.00168,0.99284,0.92083,0.98622,0.9013,0.45398,0.29208,0.00271,0.0006338,0.0006338,0.0006338
71,221.258,0.48847,0.31964,0.0017,0.99124,0.91814,0.98605,0.90349,0.42717,0.29101,0.0026,0.000614,0.000614,0.000614
72,224.247,0.49192,0.30824,0.00165,0.97464,0.93527,0.98677,0.90172,0.44885,0.28411,0.00273,0.0005942,0.0005942,0.0005942
73,227.384,0.4912,0.30724,0.00175,0.97755,0.93584,0.98709,0.90286,0.44769,0.29181,0.00276,0.0005744,0.0005744,0.0005744
74,230.353,0.4648,0.30331,0.00165,0.96752,0.94912,0.98637,0.89776,0.45124,0.29763,0.00273,0.0005546,0.0005546,0.0005546
75,233.269,0.47829,0.29989,0.00178,0.97914,0.93443,0.9865,0.90178,0.4387,0.29134,0.00268,0.0005348,0.0005348,0.0005348
76,236.317,0.4648,0.29942,0.00169,0.97825,0.93805,0.98633,0.89876,0.446,0.28976,0.00265,0.000515,0.000515,0.000515
77,239.29,0.4795,0.28993,0.00168,0.98823,0.92699,0.98664,0.90455,0.4481,0.2859,0.0027,0.0004952,0.0004952,0.0004952
78,242.454,0.47159,0.29525,0.00159,0.98811,0.92478,0.98559,0.89621,0.45532,0.28994,0.00269,0.0004754,0.0004754,0.0004754
79,245.361,0.48223,0.31779,0.00165,0.9859,0.92785,0.98664,0.90081,0.45989,0.28393,0.0027,0.0004556,0.0004556,0.0004556
80,248.379,0.45864,0.28933,0.00156,0.97442,0.94248,0.98738,0.89973,0.44826,0.26942,0.00269,0.0004358,0.0004358,0.0004358
81,251.301,0.46837,0.30092,0.00163,0.98155,0.94912,0.98954,0.9039,0.44989,0.26019,0.00269,0.000416,0.000416,0.000416
82,254.435,0.45875,0.28043,0.00157,0.97065,0.95112,0.9897,0.90126,0.45669,0.26188,0.00273,0.0003962,0.0003962,0.0003962
83,257.538,0.46815,0.28112,0.00165,0.96724,0.95354,0.98923,0.90657,0.43475,0.26039,0.00266,0.0003764,0.0003764,0.0003764
84,260.743,0.49598,0.29839,0.00167,0.98164,0.93805,0.98946,0.90847,0.42255,0.2519,0.00259,0.0003566,0.0003566,0.0003566
85,263.829,0.45603,0.27408,0.00155,0.98606,0.93905,0.98923,0.89364,0.47469,0.26797,0.00282,0.0003368,0.0003368,0.0003368
86,266.871,0.46948,0.2695,0.0017,0.98312,0.94027,0.98852,0.89998,0.4518,0.26124,0.00271,0.000317,0.000317,0.000317
